@relation 'IA - Página1'

@attribute ID numeric
@attribute Longitude numeric
@attribute Latitude numeric

@data
1,-34.91186,-8.03263
1,-34.9115,-8.03275
1,-34.91122,-8.03284
1,-34.91099,-8.03292
1,-34.91083,-8.03297
1,-34.91044,-8.03309
1,-34.91037,-8.03299
1,-34.91029,-8.03289
1,-34.91028,-8.03289
1,-34.91026,-8.03288
1,-34.91025,-8.03288
1,-34.91023,-8.03288
1,-34.91022,-8.03288
1,-34.91021,-8.03288
1,-34.91019,-8.03288
1,-34.91018,-8.03288
1,-34.91016,-8.03289
1,-34.91015,-8.03289
1,-34.91014,-8.0329
1,-34.91012,-8.0329
1,-34.91011,-8.03291
1,-34.9101,-8.03292
1,-34.91009,-8.03293
1,-34.91008,-8.03294
1,-34.90992,-8.03293
1,-34.90991,-8.03293
1,-34.90982,-8.03292
1,-34.9098,-8.03292
1,-34.90972,-8.03291
1,-34.90863,-8.03275
1,-34.90857,-8.03274
1,-34.90834,-8.03271
1,-34.90813,-8.0327
1,-34.90789,-8.03268
1,-34.9078,-8.03267
1,-34.90776,-8.03267
1,-34.90766,-8.03264
1,-34.90761,-8.03263
1,-34.90753,-8.03262
1,-34.90742,-8.03261
1,-34.90726,-8.03259
1,-34.9069,-8.03252
1,-34.90674,-8.03237
1,-34.90627,-8.03184
1,-34.90621,-8.03177
1,-34.9062,-8.03177
2,-34.90711,-8.03009
2,-34.90721,-8.03004
2,-34.90732,-8.02997
2,-34.90736,-8.02995
2,-34.90745,-8.02989
2,-34.90753,-8.02984
2,-34.90817,-8.02944
2,-34.90825,-8.02939
2,-34.90828,-8.02937
2,-34.90842,-8.02928
2,-34.90856,-8.02919
2,-34.90869,-8.02912
2,-34.90883,-8.02905
2,-34.90888,-8.02903
2,-34.90934,-8.02887
2,-34.91001,-8.02862
2,-34.91015,-8.02857
2,-34.91027,-8.02854
2,-34.91034,-8.02852
2,-34.91041,-8.02851
2,-34.9107,-8.02842
2,-34.91194,-8.02807
2,-34.91204,-8.02804
2,-34.91211,-8.02802
2,-34.9127,-8.02787
2,-34.91282,-8.02783
2,-34.91296,-8.02779
2,-34.9131,-8.02774
2,-34.91386,-8.02748
2,-34.91396,-8.02745
2,-34.91451,-8.02726
2,-34.91462,-8.02722
2,-34.91466,-8.0272
2,-34.91519,-8.02702
2,-34.9152,-8.02702
2,-34.91525,-8.027
2,-34.91541,-8.02694
2,-34.91555,-8.02689
2,-34.91557,-8.02689
2,-34.91574,-8.02683
2,-34.91591,-8.02678
2,-34.91609,-8.02674
2,-34.91618,-8.02672
2,-34.91627,-8.02671
2,-34.91636,-8.0267
2,-34.9164,-8.02669
2,-34.91655,-8.02667
2,-34.9167,-8.02665
2,-34.91685,-8.02665
2,-34.917,-8.02665
2,-34.91703,-8.02665
2,-34.91715,-8.02666
2,-34.91726,-8.02667
2,-34.91738,-8.0267
2,-34.91749,-8.02672
2,-34.91765,-8.02676
2,-34.91769,-8.02676
2,-34.91773,-8.02676
2,-34.91774,-8.02676
2,-34.9178,-8.02677
2,-34.91785,-8.02679
2,-34.9179,-8.02682
2,-34.9182,-8.02698
2,-34.91826,-8.02703
2,-34.91883,-8.0274
2,-34.91888,-8.02743
2,-34.91897,-8.02748
2,-34.91901,-8.0275
2,-34.91906,-8.02752
2,-34.91914,-8.0275
2,-34.91941,-8.02765
2,-34.91949,-8.02768
2,-34.91988,-8.02783
2,-34.91993,-8.02785
2,-34.92,-8.02788
2,-34.92004,-8.02789
2,-34.9201,-8.02793
2,-34.92012,-8.02794
2,-34.92021,-8.02798
2,-34.92029,-8.02802
2,-34.92046,-8.02811
2,-34.92125,-8.02854
2,-34.92128,-8.02855
2,-34.9214,-8.02858
2,-34.92145,-8.0286
2,-34.92153,-8.02863
2,-34.92159,-8.02864
2,-34.9217,-8.02864
2,-34.92179,-8.02864
2,-34.92188,-8.02864
2,-34.92195,-8.02863
2,-34.92208,-8.02862
2,-34.92223,-8.02862
2,-34.92233,-8.02862
2,-34.92253,-8.02859
2,-34.92272,-8.02857
2,-34.92295,-8.02854
2,-34.92312,-8.02852
2,-34.92314,-8.02851
2,-34.92322,-8.02848
2,-34.9233,-8.02844
2,-34.92336,-8.02839
2,-34.92356,-8.02826
2,-34.92366,-8.02817
2,-34.92376,-8.0281
2,-34.92425,-8.02773
2,-34.9244,-8.02767
2,-34.92441,-8.02766
2,-34.92446,-8.02765
2,-34.92448,-8.02764
2,-34.92449,-8.02763
2,-34.92456,-8.02762
2,-34.92464,-8.02761
2,-34.92542,-8.02755
2,-34.92556,-8.02755
2,-34.92569,-8.02753
2,-34.92583,-8.0275
2,-34.92628,-8.02741
2,-34.92633,-8.0274
2,-34.92639,-8.0274
2,-34.9264,-8.02741
2,-34.92642,-8.02741
2,-34.92647,-8.02742
2,-34.92655,-8.02744
2,-34.92662,-8.02746
2,-34.92665,-8.02748
2,-34.92676,-8.02753
2,-34.92713,-8.02776
3,-34.88175,-8.09046
3,-34.88166,-8.09009
3,-34.88163,-8.08997
3,-34.88162,-8.08988
3,-34.88161,-8.08985
3,-34.88158,-8.08964
3,-34.88155,-8.08943
3,-34.88156,-8.08934
3,-34.88158,-8.08925
3,-34.88159,-8.08919
3,-34.88161,-8.08911
3,-34.88162,-8.08905
3,-34.8817,-8.08883
3,-34.88178,-8.08865
3,-34.88185,-8.08853
3,-34.88194,-8.08835
3,-34.88197,-8.08831
3,-34.88201,-8.08823
3,-34.88207,-8.08813
3,-34.8821,-8.08808
3,-34.8821,-8.08807
3,-34.88219,-8.08794
3,-34.88195,-8.08783
3,-34.88173,-8.08772
3,-34.88163,-8.08767
3,-34.88153,-8.08762
3,-34.88138,-8.08755
3,-34.88123,-8.08747
3,-34.88119,-8.08755
3,-34.88115,-8.08764
3,-34.8811,-8.08771
3,-34.88107,-8.08776
3,-34.88106,-8.08777
3,-34.881,-8.08783
3,-34.88099,-8.08784
3,-34.88097,-8.08787
3,-34.88093,-8.08792
3,-34.88091,-8.08794
3,-34.88065,-8.08824
3,-34.88041,-8.08847
3,-34.88035,-8.08852
3,-34.88029,-8.08857
3,-34.8802,-8.08865
3,-34.88005,-8.08878
3,-34.88003,-8.08879
3,-34.88002,-8.0888
3,-34.87999,-8.08881
3,-34.87996,-8.08881
3,-34.87994,-8.08881
3,-34.87991,-8.08881
3,-34.87988,-8.08879
3,-34.87985,-8.08877
3,-34.87965,-8.08857
3,-34.8794,-8.0883
3,-34.87936,-8.08825
3,-34.87933,-8.0882
3,-34.87932,-8.08819
3,-34.87929,-8.08813
3,-34.87928,-8.08811
